Source Position,Source Feature,Business-Friendly Label,Repeat Number,Baseline PR AUC,Permuted PR AUC,PR AUC Decrease
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,25,0.07039154682743512,0.06673526581390984,0.0036562810135252755
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,26,0.07039154682743512,0.06888813046653779,0.0015034163608973333
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,27,0.07039154682743512,0.06508975305654391,0.005301793770891211
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,28,0.07039154682743512,0.06631122072352762,0.004080326103907503
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,29,0.07039154682743512,0.07018569979942596,0.00020584702800915955
4,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,30,0.07039154682743512,0.06712560328511777,0.003265943542317351
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),1,0.07039154682743512,0.07012473575268052,0.0002668110747545971
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),2,0.07039154682743512,0.07207495877346054,-0.0016834119460254204
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),3,0.07039154682743512,0.07357239654922196,-0.003180849721786838
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),4,0.07039154682743512,0.0701347847969731,0.0002567620304620155
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),5,0.07039154682743512,0.070450286872172,-5.8740044736882435e-05
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),6,0.07039154682743512,0.07128629263398406,-0.0008947458065489411
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),7,0.07039154682743512,0.07405240869655759,-0.00366086186912247
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),8,0.07039154682743512,0.07530796254434954,-0.004916415716914424
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),9,0.07039154682743512,0.07194256682284045,-0.0015510199954053283
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),10,0.07039154682743512,0.07170180941602078,-0.001310262588585659
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),11,0.07039154682743512,0.07584270141424596,-0.005451154586810836
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),12,0.07039154682743512,0.06761554299267332,0.0027760038347618005
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),13,0.07039154682743512,0.07355068460609365,-0.003159137778658533
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),14,0.07039154682743512,0.06786340945598393,0.002528137371451189
5,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),15,0.07039154682743512,0.07280615129554688,-0.0024146044681117584
