Bootstrap Iteration,Source Feature,Business-Friendly Label,Mean Absolute SHAP,SHAP Rank,Top Feature
34,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.0009795362334824869,7,False
34,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.0011108505406163028,6,False
34,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.0005453438275380778,8,False
34,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.0011913317301411306,5,False
34,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.0012524934792632484,4,True
34,donor_age,Donor Age,0.0026709986301552595,1,True
34,feature_gender_identity,Gender Identity,0.0021366157838427088,2,True
34,feature_preferred_address_type,Preferred Address Type,0.0016038781846835263,3,True
35,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.0010566145253099364,7,False
35,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.0011822851193322758,5,False
35,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.0005700967395889421,8,False
35,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.0011725752108676783,6,False
35,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.0013195316122319594,4,True
35,donor_age,Donor Age,0.002906689126051436,1,True
35,feature_gender_identity,Gender Identity,0.0021504255135536797,2,True
35,feature_preferred_address_type,Preferred Address Type,0.0015595606474077305,3,True
36,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.0011076140110492555,7,False
36,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.0012379852419714306,5,False
36,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.0005545419191633012,8,False
36,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.0011848347413915498,6,False
36,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.0013080514220693033,4,True
36,donor_age,Donor Age,0.002792296864451307,1,True
36,feature_gender_identity,Gender Identity,0.0021511517686549236,2,True
36,feature_preferred_address_type,Preferred Address Type,0.0015877685312543541,3,True
37,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.0009522061500832372,7,False
37,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.0010824862142723437,6,False
37,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.0005538805944142158,8,False
37,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.0011970780032759124,5,False
37,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.0012322668130157377,4,True
37,donor_age,Donor Age,0.0027959130075318568,1,True
37,feature_gender_identity,Gender Identity,0.0021750534717857963,2,True
37,feature_preferred_address_type,Preferred Address Type,0.0015956551905632558,3,True
38,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.001082551062963393,7,False
38,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.0012098621871902192,5,False
38,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.0005603862771506413,8,False
38,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.0011945682925372785,6,False
38,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.001330554988139562,4,True
38,donor_age,Donor Age,0.002787462527394588,1,True
38,feature_gender_identity,Gender Identity,0.0020961234264609595,2,True
38,feature_preferred_address_type,Preferred Address Type,0.0016334217509356142,3,True
39,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.0011138671163664383,7,False
39,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.0012487263071616719,5,False
39,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.0005497088362692481,8,False
39,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.0011364736604699876,6,False
39,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.0013250418134586246,4,True
39,donor_age,Donor Age,0.0028365848141033174,1,True
39,feature_gender_identity,Gender Identity,0.002158752039840514,2,True
39,feature_preferred_address_type,Preferred Address Type,0.0015582188914106529,3,True
40,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.001025113929786089,7,False
40,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.0011558029838297885,6,False
40,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.000544374198951736,8,False
40,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.001165871481533195,5,False
40,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.0012259341603901499,4,True
40,donor_age,Donor Age,0.0026782002905617807,1,True
40,feature_gender_identity,Gender Identity,0.002134864282783215,2,True
40,feature_preferred_address_type,Preferred Address Type,0.0015716001210290581,3,True
41,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.001100780173705998,7,False
41,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.0012043134686987155,5,False
